id_drive,id,nombre,categoria,subsistema,referencia_comercial,fuente_geometria,estado_cotas,dimensiones_mm,fuente_cotas,uds,masa_g,estado_masa,colocado,zona,centro_mm,conectores,keep_outs,que_falta,pedir_a
PLAT-08,estructura_6u,Estructura 6U (chasis),estructura,estructura,,aproximado propio: caja,confirmado,226.3 x 100.0 x 366.0,"CDS Rev 14.1, plano CDS-14-007",1,,TBD,no,,,,,,
PLAT-04,adcs_iadcs400,AAC Clyde Space iADCS400,plataforma,ADCS,AAC Clyde Space iADCS400 (incluye star tracker ST200),aproximado propio: caja,confirmado,95.4 x 95.9 x 67.3,Brief ACSAR 2026-09-19 (cita ficha AAC Clyde Space iADCS400),1,,TBD,si,z_plataforma,"-60.9, 0.0, 142.6",,,,
PLAT-04-ALT,adcs_iadcs420,"AAC Clyde Space iADCS4-20 (alternativa, solo STEP)",plataforma,ADCS,AAC Clyde Space iADCS4-20 (part number IADCS420-ASM-ST-1.0),STEP de fabricante,referencia,95.4 x 93.9 x 74.1,"Medido sobre el propio STEP (210 solidos, caja envolvente calculada solido a solido), ya girado a los ejes del catalogo. AAC NO publica ficha del iADCS4-20: el STEP es la unica fuente que hay de este producto, y por eso el estado es 'referencia' y no 'confirmado'.",1,,TBD,no,,,,,,
PLAT-01,obc_kryten_m3_plus,AAC Clyde Space Kryten-M3-PLUS (OBC con GNSS),plataforma,OBC,AAC Clyde Space Kryten-M3-PLUS,STEP de fabricante,confirmado,95.89 x 90.17 x 5.51,https://www.aac-clyde.space/wp-content/uploads/2021/10/AAC_DataSheet_Kryten.pdf,1,61.9,confirmado,si,z_plataforma,"-60.8, 0.0, 89.3",,,,
PLAT-05,eps_starbuck_nano_plus,AAC Clyde Space Starbuck-Nano-PLUS (EPS),plataforma,EPS,AAC Clyde Space Starbuck-Nano-PLUS,aproximado propio: caja,confirmado,95.89 x 90.17 x 20.82,https://www.aac-clyde.space/wp-content/uploads/2021/11/AAC_DataSheet_Starbuck-Nano.pdf,1,148.0,confirmado,si,z_plataforma,"-60.9, 0.0, 58.8",,,,
PLAT-06,bateria_optimus_30,AAC Clyde Space Optimus-30 (bateria),plataforma,EPS,AAC Clyde Space Optimus-30,STEP de fabricante,confirmado,95.89 x 90.17 x 21.55,https://www.aac-clyde.space/wp-content/uploads/2021/11/AAC_DataSheet_Optimus.pdf,2,268.0,confirmado,si,z_plataforma,"-60.9, 0.0, -55.5",,,,
PLAT-02,radio_banda_s_quasar_strx,AAC Clyde Space Quasar-STRX (transceptor banda S),plataforma,comunicaciones,AAC Clyde Space Quasar-STRX,aproximado propio: caja,referencia,96.0 x 90.0 x 16.9,Ficha AAC Pulsar-STX (via brief ACSAR 2026-09-19),1,100.0,referencia,si,z_plataforma,"-60.8, 0.0, 28.3",,,,
PLAT-03,antena_quasar_wsant,AAC Clyde Space Quasar-WSANT (antena banda S),plataforma,comunicaciones,AAC Clyde Space Quasar-WSANT,aproximado propio: caja,supuesto,82.0 x 82.0 x 10.0,"SUPUESTO. AAC no publica las cotas del Quasar-WSANT. 82 x 82 x 10 mm es el orden de magnitud de una antena de parche de banda S para cubesat, que a 2.2 GHz necesita del orden de 80 mm de lado con sustrato ceramico. NO es la ficha de este producto.",1,,TBD,si,z_plataforma,"-60.8, 0.0, -175.7",,,"Dimensiones reales, ganancia, diagrama de radiacion y cara de montaje",AAC Clyde Space
,radio_uhf_pulsar_vutrx,"AAC Clyde Space Pulsar-VUTRX (UHF, TT&C de respaldo)",plataforma,comunicaciones,AAC Clyde Space Pulsar-VUTRX,sin geometria,TBD,,,1,,TBD,no,,,,,Dimensiones,AAC Clyde Space
PLAT-07,paneles_photon_side,AAC Clyde Space PHOTON-SIDE (paneles de montaje en cuerpo),plataforma,EPS,AAC Clyde Space PHOTON-SIDE,aproximado propio: caja,supuesto,209.3 x 3.5 x 349.0,"El ESPESOR, 3.5 mm, es dato de ficha (altura plegada; ver 'altura_plegada' abajo) y cabe de sobra en los 6.5 mm de protrusion que permite la CDS 14.1 req 2.2.3. El CONTORNO esta derivado, no copiado: es la cara +-Y del 6U (226.3 x 366 mm) menos el ancho de rail confirmado (8.5 mm, req 2.2.5) por cad",2,,TBD,si,exterior,"0.0, 51.8, 0.0",,,Contorno real de cada tamano de PHOTON-SIDE (1U/2U/3U/6U) y cual de ellos se monta en cada cara,AAC Clyde Space / Equipo de potencia de ACSAR
